ID_OBRA,NOMBRE_OBRA,DEPENDENCIA,FECHA_PM,ID_AVERIA,DESC_AVERIA,FECHA_AVERIA,CATEGORIA
SEV-2025-01,RESIDENCIAL JARDINES DE EUROPA,Sevilla,15/01/2025,TK-1001,Ajuste de puertas de cabina (roces),20/01/2025,Fallo Montaje
SEV-2025-01,RESIDENCIAL JARDINES DE EUROPA,Sevilla,15/01/2025,TK-1005,Nivelación en planta baja imprecisa,05/02/2025,Fallo Instalación
SEV-2025-01,RESIDENCIAL JARDINES DE EUROPA,Sevilla,15/01/2025,TK-1012,Ruido en guías por falta de engrase,10/02/2025,Otros
SEV-2025-02,TORRE SEVILLA BUSINESS,Sevilla,01/03/2025,TK-2001,Fallo comunicación placa maniobra,10/03/2025,Fallo Instalación
SEV-2025-02,TORRE SEVILLA BUSINESS,Sevilla,01/03/2025,TK-2005,Bloqueo por serie de seguridades,05/04/2025,Fallo Montaje
SEV-2025-02,TORRE SEVILLA BUSINESS,Sevilla,01/03/2025,TK-2010,Vibraciones fuertes en viaje,15/05/2025,Fallo Montaje
SEV-2025-02,TORRE SEVILLA BUSINESS,Sevilla,01/03/2025,TK-2015,Parada brusca con carga,20/05/2025,Fallo Instalación
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2101,Golpes en puertas,05/02/2025,Otros
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2102,Botonera rota,15/02/2025,Otros
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2103,Fallo variador,20/02/2025,Fallo Instalación
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2104,Fotocélula sucia,10/03/2025,Otros
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2105,Ruido rodadura,05/04/2025,Fallo Montaje
SEV-2025-03,ESTADIO OLÍMPICO (MONTACARGAS),Sevilla,01/02/2025,TK-2106,Puerta bloqueada,20/04/2025,Otros
CAD-2025-01,HOTEL PLAYA VICTORIA,Cádiz,10/02/2025,TK-3001,Fotocélula sucia por arena,12/02/2025,Otros
CAD-2025-01,HOTEL PLAYA VICTORIA,Cádiz,10/02/2025,TK-3002,Puerta bloqueada por viento,15/02/2025,Otros
CAD-2025-02,LOGÍSTICA PUERTO REAL,Cádiz,01/01/2025
CAD-2025-03,RESIDENCIAL CÁDIZ CENTRO,Cádiz,01/05/2025,TK-3050,Ajuste sensibilidad puertas,05/05/2025,Fallo Montaje
MAL-2025-01,CENTRO COMERCIAL LARIOS,Málaga,15/01/2025,TK-4001,Ruido en cabina,20/01/2025,Fallo Montaje
MAL-2025-01,CENTRO COMERCIAL LARIOS,Málaga,15/01/2025,TK-4002,Vibración en planta 2,25/02/2025,Fallo Montaje
MAL-2025-01,CENTRO COMERCIAL LARIOS,Málaga,15/01/2025,TK-4003,Vibración excesiva planta 3,10/03/2025,Fallo Montaje
MAL-2025-01,CENTRO COMERCIAL LARIOS,Málaga,15/01/2025,TK-4004,Cliente atrapado por bloqueo,05/04/2025,Fallo Instalación
MAL-2025-02,RESIDENCIAL COSTA DEL SOL,Málaga,20/02/2025,TK-4100,Configuración de pesacargas,25/02/2025,Fallo Instalación
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5001,Golpe en puerta de pasillo pl 2,15/01/2025,Otros
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5005,Botonera no registra llamadas,01/02/2025,Fallo Instalación
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5012,Ruido en operador de puertas,20/02/2025,Fallo Montaje
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5015,Reajuste de paracaídas,05/03/2025,Fallo Montaje
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5018,Cristal espejo roto,15/04/2025,Otros
COR-2025-01,HOSPITAL REINA SOFÍA (MONTACAMAS),Córdoba,10/01/2025,TK-5020,Fallo iluminación cabina,20/05/2025,Fallo Instalación
MAD-2025-01,OFICINAS CASTELLANA 200,Madrid,01/01/2025,TK-6001,Fallo variador de frecuencia,10/01/2025,Fallo Instalación
MAD-2025-01,OFICINAS CASTELLANA 200,Madrid,01/01/2025,TK-6002,Ajuste final de carrera,15/01/2025,Fallo Montaje
MAD-2025-02,TORRE ESPACIO (ASCENSOR 4),Madrid,01/03/2025,TK-6100,Ruido metálico en hueco,10/03/2025,Fallo Montaje
MAD-2025-02,TORRE ESPACIO (ASCENSOR 4),Madrid,01/03/2025,TK-6105,Rozamiento de cabina contra guías,15/04/2025,Fallo Montaje
MAD-2025-02,TORRE ESPACIO (ASCENSOR 4),Madrid,01/03/2025,TK-6110,Bloqueo por acuñamiento,20/05/2025,Fallo Montaje
MAD-2025-03,RESIDENCIAL ALCALÁ,Madrid,15/02/2025
